cat_internal,name,speciation_profile,time_profile
1010,SNAP 1-COMBUSTION IN ENERGY AND TRANSFORMATION INDUSTRIES,1,1
2010,sk kominy, 1,1
1020,SNAP 2-NON-INDUSTRIAL COMBUSTION PLANTS,2,2
2020,sk kominy, 2,2
2021, sk plyn lok. vykurovanie,2020,9020 
2022, sk olej lok. vykurovanie,2020,9020
2023, sk uhlie lok. vykurovanie,2020,9020
2024, sk drevo lok. vykurovanie,2020,9020
1030,SNAP 3-COMBUSTION IN MANUFACTURING INDUSTRY,3,3
2030,sk kominy, 3,3
1040,SNAP 4-PRODUCTION PROCESSES,4,4
2040,sk kominy, 4,4
1050,SNAP 5-EXTRACTION AND DISTRIBUTION OF FOSSIL FUELS AND GEOTHERMAL ENERGY,5,5
2050,sk kominy, 5,5
1060,SNAP 6-SOLVENT AND OTHER PRODUCT USE,6,6
2060,sk kominy, 6,6
1070,SNAP 7-ROAD TRANSPORT,7,7
2070,CDV dopravne emisie 2019,7,7
1706,SNAP 7-Gasoline evaporation from vehicles,7,7
1071,SNAP 7-ROAD TRANSPORT - exhaust gasoline,7,7
1072,SNAP 7-ROAD TRANSPORT - exhaust diesel,7,7
1073,SNAP 7-ROAD TRANSPORT - exhaust LPG/natural gas,7,7
1074,SNAP 7-ROAD TRANSPORT - non-exhaust gasoline evaporation,7,7
1075,SNAP 7-ROAD TRANSPORT - non-exhaust wear,7,7
1751,SNAP 7-ROAD TRANSPORT - non-exhaust TYRE wear,751,7
1752,SNAP 7-ROAD TRANSPORT - non-exhaust BRAKE wear,752,7
1078,SNAP 7-ROAD TRANSPORT - resuspension,78,7
1080,SNAP 8-OTHER MOBILE SOURCES AND MACHINERY,8,8
1090,SNAP 9-WASTE TREATMENT AND DISPOSAL,9,9
2090,sk kominy, 9,9
1100,SNAP 10-AGRICULTURE,10,10
2100,sk agri,10,10
1110,SNAP 11-other unorganised sources,11,11
